title,img_url,director,starring,years,location,rating,reviews,genre
断背山  / Brokeback Mountain,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169104127.webp,李安 Ang Lee,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,"美国, 加拿大",8.8,764862人评价,"剧情, 爱情, 同性, 家庭"
菊次郎的夏天  / 菊次郎の夏,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.webp,北野武 Takeshi Kitano,北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,8.9,659098人评价,"剧情, 喜剧"
借东西的小人阿莉埃蒂  / 借りぐらしのアリエッティ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.webp,米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida / 神木...,2010,日本,8.9,612516人评价,"动画, 奇幻, 冒险"
勇敢的心  / Braveheart,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.webp,梅尔·吉布森 Mel Gibson,梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,美国,8.9,595665人评价,"动作, 传记, 剧情, 历史, 战争"
头脑特工队  / Inside Out,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2874927470.webp,,,,,8.8,772781人评价,
时空恋旅人  / About Time,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.webp,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森 Domhnall Gl...,2013,"英国, 美国",8.8,765741人评价,"喜剧, 爱情, 奇幻"
无人知晓  / 誰も知らない,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.webp,是枝裕和 Hirokazu Koreeda,柳乐优弥 Yûya Yagira / 北浦爱...,2004,日本,9.1,363125人评价,剧情
末代皇帝  / The Last Emperor,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.webp,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,1987,"英国, 意大利, 中国大陆, 法国",9.3,996699人评价,"剧情, 传记, 历史"
哈利·波特与魔法石  / Harry Potter and the Sorcerer's Stone,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913781448.webp,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,2001,"美国, 英国",9.2,1372652人评价,"奇幻, 冒险"
龙猫  / となりのトトロ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.webp,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,9.2,1378191人评价,"动画, 奇幻, 冒险"
怦然心动  / Flipped,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.webp,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,9.1,2000750人评价,"剧情, 喜剧, 爱情"
活着,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.webp,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,"中国大陆, 中国香港",9.3,942425人评价,"剧情, 历史, 家庭"
蝙蝠侠：黑暗骑士  / The Dark Knight,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.webp,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2008,"美国, 英国",9.2,1163135人评价,"剧情, 动作, 科幻, 犯罪, 惊悚"
指环王3：王者无敌  / The Lord of the Rings: The Return of the King,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.webp,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2003,"美国, 新西兰",9.3,885314人评价,"剧情, 动作, 奇幻, 冒险"
我不是药神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.webp,文牧野 Muye Wen,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,9.0,2297395人评价,"剧情, 喜剧"
乱世佳人  / Gone with the Wind,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.webp,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,1939,美国,9.3,768368人评价,"剧情, 历史, 爱情, 战争"
飞屋环游记  / Up,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.webp,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,2009,美国,9.1,1457482人评价,"剧情, 喜剧, 动画, 冒险"
让子弹飞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.webp,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,"中国大陆, 中国香港",9.0,1873080人评价,"剧情, 喜剧, 动作, 西部"
哈尔的移动城堡  / ハウルの動く城,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907583906.webp,宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,9.1,1245380人评价,"爱情, 动画, 奇幻, 冒险"
十二怒汉  / 12 Angry Men,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.webp,西德尼·吕美特 Sidney Lumet,亨利·方达 Henry Fonda / 马丁...,1957,美国,9.4,558320人评价,剧情
素媛  / 소원,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.webp,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,9.3,757041人评价,剧情
海蒂和爷爷  / Heidi,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.webp,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen /...,2015,"德国, 瑞士",9.3,741950人评价,"剧情, 冒险, 家庭"
猫鼠游戏  / Catch Me If You Can,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.webp,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,2002,"美国, 加拿大",9.1,1167368人评价,"传记, 犯罪, 剧情"
天空之城  / 天空の城ラピュタ,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2892409201.webp,宫崎骏 Hayao Miyazaki,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,9.2,981973人评价,"动画, 奇幻, 冒险"
鬼子来了,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.webp,姜文 Wen Jiang,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,9.3,695180人评价,"剧情, 喜剧"
摔跤吧！爸爸  / Dangal,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.webp,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,9.0,1704311人评价,"剧情, 传记, 运动, 家庭"
少年派的奇幻漂流  / Life of Pi,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.webp,李安 Ang Lee,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,"美国, 中国台湾, 英国, 加拿大",9.1,1457968人评价,"剧情, 奇幻, 冒险"
钢琴家  / The Pianist,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.webp,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,2002,"英国, 法国, 波兰, 德国, 美国",9.3,726152人评价,"剧情, 传记, 战争, 音乐"
指环王2：双塔奇兵  / The Lord of the Rings: The Two Towers,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.webp,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2002,"美国, 新西兰",9.2,833052人评价,"剧情, 动作, 奇幻, 冒险"
死亡诗社  / Dead Poets Society,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.webp,彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,9.2,844139人评价,剧情
大话西游之月光宝盒  / 西遊記第壹佰零壹回之月光寶盒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.webp,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,"中国香港, 中国大陆",9.0,1330908人评价,"喜剧, 爱情, 奇幻, 古装"
何以为家  / كفرناحوم,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.webp,娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea / ...,2018,"黎巴嫩, 美国, 法国, 塞浦路斯, 卡塔尔, 英国",9.1,1138866人评价,剧情
闻香识女人  / Scent of a Woman,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.webp,马丁·布莱斯 Martin Brest,阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,9.1,994080人评价,剧情
绿皮书  / Green Book,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.webp,彼得·法雷里 Peter Farrelly,维果·莫腾森 Viggo Mortensen /...,2018,"美国, 中国大陆",8.9,1837274人评价,"剧情, 喜剧, 传记, 音乐"
大闹天宫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.webp,,,,,9.4,493685人评价,
黑客帝国  / The Matrix,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.webp,,,,,9.1,923168人评价,
指环王1：护戒使者  / The Lord of the Rings: The Fellowship of the Ring,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.webp,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2001,"新西兰, 美国",9.1,933572人评价,"剧情, 动作, 奇幻, 冒险"
罗马假日  / Roman Holiday,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.webp,威廉·惠勒 William Wyler,奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,9.1,1025067人评价,"喜剧, 剧情, 爱情"
教父2  / The Godfather: Part II,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.webp,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1974,美国,9.3,617613人评价,"剧情, 犯罪"
狮子王  / The Lion King,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.webp,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,1994,美国,9.1,934527人评价,"动画, 冒险, 歌舞"
天堂电影院  / Nuovo Cinema Paradiso,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.webp,朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷 Philipp...,1988,"意大利, 法国",9.2,726538人评价,"剧情, 爱情"
饮食男女  / 飲食男女,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.webp,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,"中国台湾, 美国",9.2,699238人评价,"剧情, 家庭"
辩护人  / 변호인,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.webp,杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,9.2,644911人评价,剧情
本杰明·巴顿奇事  / The Curious Case of Benjamin Button,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.webp,大卫·芬奇 David Fincher,凯特·布兰切特 Cate Blanchett / ...,2008,美国,9.0,1077037人评价,"剧情, 爱情, 奇幻"
搏击俱乐部  / Fight Club,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.webp,大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉...,1999,美国,9.0,940869人评价,"剧情, 动作, 悬疑, 惊悚"
美丽心灵  / A Beautiful Mind,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.webp,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,9.1,836415人评价,"传记, 剧情"
穿条纹睡衣的男孩  / The Boy in the Striped Pajamas,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.webp,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,2008,"英国, 美国",9.2,625616人评价,"剧情, 战争"
情书  / Love Letter,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.webp,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,8.9,1283648人评价,"剧情, 爱情"
"两杆大烟枪  / Lock, Stock and Two Smoking Barrels",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.webp,盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,9.1,658543人评价,"剧情, 喜剧, 犯罪"
窃听风暴  / Das Leben der Anderen,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.webp,,,,,9.2,618323人评价,
哈利·波特与死亡圣器(下)  / Harry Potter and the Deathly Hallows: Part 2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913457020.webp,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,"美国, 英国",9.0,942281人评价,"奇幻, 冒险"
音乐之声  / The Sound of Music,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.webp,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,9.1,665997人评价,"剧情, 传记, 爱情, 歌舞"
西西里的美丽传说  / Malèna,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.webp,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,2000,"意大利, 美国",8.9,1069247人评价,"剧情, 战争, 情色"
功夫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.webp,周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,"中国大陆, 中国香港",8.9,1291997人评价,"动作, 喜剧, 犯罪, 奇幻"
阿凡达  / Avatar,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.webp,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,2009,美国,8.8,1538483人评价,"动作, 科幻, 冒险"
哈利·波特与阿兹卡班的囚徒  / Harry Potter and the Prisoner of Azkaban,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913456870.webp,阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Rad...,2004,"英国, 美国",9.0,860205人评价,"奇幻, 冒险"
看不见的客人  / Contratiempo,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.webp,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,8.8,1404455人评价,"剧情, 犯罪, 悬疑, 惊悚"
拯救大兵瑞恩  / Saving Private Ryan,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.webp,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,1998,美国,9.1,707352人评价,"剧情, 战争"
沉默的羔羊  / The Silence of the Lambs,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.webp,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,1991,美国,8.9,988321人评价,"剧情, 犯罪, 惊悚"
小鞋子  / بچه های آسمان,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.webp,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,9.2,451548人评价,"剧情, 儿童, 家庭"
飞越疯人院  / One Flew Over the Cuckoo's Nest,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.webp,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols...,1975,美国,9.1,590602人评价,剧情
布达佩斯大饭店  / The Grand Budapest Hotel,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.webp,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,2014,"美国, 德国, 英国",8.9,1054048人评价,"剧情, 喜剧, 冒险"
蝴蝶效应  / The Butterfly Effect,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.webp,,,,,8.9,1038805人评价,
禁闭岛  / Shutter Island,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.webp,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,8.9,1083403人评价,"剧情, 悬疑, 惊悚"
致命魔术  / The Prestige,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.webp,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,2006,"英国, 美国",8.9,941865人评价,"剧情, 悬疑, 惊悚"
心灵捕手  / Good Will Hunting,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.webp,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·...,1997,美国,9.0,795097人评价,剧情
低俗小说  / Pulp Fiction,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.webp,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,1994,美国,8.9,931818人评价,"剧情, 喜剧, 犯罪"
超脱  / Detachment,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.webp,托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,9.0,699826人评价,剧情
哈利·波特与密室  / Harry Potter and the Chamber of Secrets,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2913781951.webp,Chris Columbus,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,"英国, 美国",8.9,885695人评价,"奇幻, 冒险"
摩登时代  / Modern Times,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.webp,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,1936,美国,9.3,336479人评价,"剧情, 喜剧, 爱情"
喜剧之王  / 喜劇之王,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.webp,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,1999,中国香港,8.8,1066891人评价,"喜剧, 剧情, 爱情"
杀人回忆  / 살인의 추억,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.webp,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,8.9,811679人评价,"剧情, 动作, 犯罪, 悬疑, 惊悚"
致命ID  / Identity,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.webp,詹姆斯·曼高德 James Mangold,约翰·库萨克 John Cusack / 雷...,2003,美国,8.9,921267人评价,"剧情, 悬疑, 惊悚"
春光乍泄  / 春光乍洩,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.webp,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,"中国香港, 日本, 韩国",9.0,694503人评价,"剧情, 爱情, 同性"
一一,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.webp,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,"中国台湾, 日本",9.1,475386人评价,"剧情, 爱情, 家庭"
海豚湾  / The Cove,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.webp,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯 Louie Psihoyo...,2009,美国,9.3,377095人评价,纪录片
